Platform,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12
Foxtel Linear,0.788614284,0.894307142,0.947153571,1,1.032722857,1.065445713,1.09816857,1.130891427,1.163614283,1.19633714,1.229059997,1.261782853
AmazonPrime,0.600672898,0.800336449,0.900168224,1,1.025,1.049999999,1.074999999,1.099999999,1.124999999,1.149999998,1.174999998,1.199999998
Samsung In-Stream CTV,0.45370001,0.726850005,0.863425003,1,1.025000001,1.050000002,1.075000002,1.100000003,1.125000004,1.150000005,1.175000006,1.200000006
Binge,0.549999994,0.774999997,0.887499998,1,1.025000001,1.050000002,1.075000002,1.100000003,1.125000004,1.150000005,1.175000006,1.200000006
FoxtelGo,0.549999994,0.774999997,0.887499998,1,1.025,1.050000001,1.075000001,1.100000001,1.125000002,1.150000002,1.175000002,1.200000003
FoxtelLinear,0.753424658,0.876712329,0.938356164,1,1.025684931,1.051369863,1.077054794,1.102739726,1.128424657,1.154109589,1.17979452,1.205479452
Kayo,0.55,0.775,0.8875,1,1.025,1.05,1.075,1.1,1.125,1.15,1.175,1.2
LinearTVMetro,0.788614284,0.894307142,0.947153571,1,1.032722857,1.065445713,1.09816857,1.130891427,1.163614283,1.19633714,1.229059997,1.261782853
LinearTVMetro&Regional,0.753424658,0.876712329,0.938356165,1,1.025684932,1.051369863,1.077054795,1.102739726,1.128424658,1.154109589,1.179794521,1.205479452
LinearTVMetro5CapNineNetwork,0.753424658,0.876712329,0.938356164,1,1.025684932,1.051369863,1.077054795,1.102739726,1.128424658,1.154109589,1.179794521,1.205479452
LinearTVMetro5CapSBSNetwork,0.753424655,0.876712327,0.938356164,1,1.025684932,1.051369863,1.077054795,1.102739726,1.128424658,1.15410959,1.179794521,1.205479453
LinearTVMetro5CapSevenNetwork,0.753424658,0.876712329,0.938356164,1,1.025684932,1.051369863,1.077054795,1.102739726,1.128424658,1.154109589,1.179794521,1.205479452
LinearTVMetro5CapTenNetwork,0.753424657,0.876712328,0.938356164,1,1.025684932,1.051369863,1.077054795,1.102739727,1.128424659,1.15410959,1.179794522,1.205479454
LinearTVRegional,0.775837623,0.887918812,0.943959406,1,1.030167524,1.060335049,1.090502573,1.120670098,1.150837622,1.181005147,1.211172671,1.241340196
LinearTVRegional4NineNetwork,0.775837623,0.887918812,0.943959406,1,1.030167524,1.060335049,1.090502573,1.120670098,1.150837622,1.181005147,1.211172671,1.241340196
LinearTVRegional4SBSNetwork,0.775837623,0.887918812,0.943959406,1,1.030167524,1.060335049,1.090502573,1.120670098,1.150837622,1.181005147,1.211172671,1.241340196
LinearTVRegional4SevenNetwork,0.775837623,0.887918812,0.943959406,1,1.030167524,1.060335049,1.090502573,1.120670098,1.150837622,1.181005147,1.211172671,1.241340196
LinearTVRegional4TenNetwork,0.775837623,0.887918812,0.943959406,1,1.030167524,1.060335049,1.090502573,1.120670098,1.150837622,1.181005147,1.211172671,1.241340196
Netflix,0.549999999,0.774999999,0.8875,1,1.024999999,1.049999999,1.074999998,1.099999998,1.124999997,1.149999997,1.174999996,1.199999996
NineNow,0.569448661,0.78472433,0.892362165,1,1.021962518,1.043925037,1.065887555,1.087850074,1.109812592,1.131775111,1.153737629,1.175700148
OptusSport,0.6,0.8,0.9,1,1.052797845,1.105595691,1.158393536,1.211191382,1.263989227,1.316787072,1.369584918,1.422382763
SBSOnDemand,0.666448078,0.833224039,0.916612019,1,1.05675857,1.113517139,1.170275709,1.227034278,1.283792848,1.340551417,1.397309987,1.454068556
SevenPlus,0.550000006,0.775000003,0.887500002,1,1.025,1.05,1.075,1.1,1.125,1.15,1.175,1.2
TenPlay,0.534758184,0.767379092,0.883689546,1,1.022772385,1.045544769,1.068317154,1.091089539,1.113861924,1.136634308,1.159406693,1.182179078
YouTubeInstantReserve,0.53,0.765,0.8825,1,1.034441627,1.068883255,1.103324882,1.13776651,1.172208137,1.206649765,1.241091392,1.275533019
YouTubeOMGSelect,0.186853493,0.593426747,0.796713373,1,1.006217341,1.012434681,1.018652022,1.024869362,1.031086703,1.037304044,1.043521384,1.049738725
YouTubeSelect,0.6124858,0.8062429,0.90312145,1,1.006217341,1.012434681,1.018652022,1.024869362,1.031086703,1.037304044,1.043521384,1.049738725
YouTubeTrueView,0.892873113,0.946436557,0.973218278,1,1.034441627,1.068883255,1.103324882,1.13776651,1.172208137,1.206649765,1.241091392,1.275533019
