Key,CPP
P25-54Linear TV Metro & Regional,2600
P25-54Linear TV Metro,2717
P25-54Linear TV Regional,2258
P25-54Foxtel Linear,1605
P25-54YouTube Select,3164
P25-54Nine Now,6420
P25-54Ten Play,5350
P25-54Seven Plus,5457
P25-54SBS On Demand,5243
P25-54Kayo,5350
P25-54Foxtel Go,4280
P25-54Binge,5885
P25-54Netflix,4280
P18+Linear TV Metro & Regional,5006
P18+Linear TV Metro,5230
P18+Linear TV Regional,4347
P18+Foxtel Linear,3090
P18+YouTube Select,6091
P18+Nine Now,12360
P18+Ten Play,10300
P18+Seven Plus,10506
P18+SBS On Demand,10094
P18+Kayo,10300
P18+Foxtel Go,8240
P18+Binge,11330
P18+Netflix,8240
P18-44Linear TV Metro & Regional,2357
P18-44Linear TV Metro,2463
P18-44Linear TV Regional,2047
P18-44Foxtel Linear,1455
P18-44YouTube Select,2868
P18-44Nine Now,5820
P18-44Ten Play,4850
P18-44Seven Plus,4947
P18-44SBS On Demand,4753
P18-44Kayo,4850
P18-44Foxtel Go,3880
P18-44Binge,5335
P18-44Netflix,3880
P18-64Linear TV Metro & Regional,3888
P18-64Linear TV Metro,4062
P18-64Linear TV Regional,3376
P18-64Foxtel Linear,2400
P18-64YouTube Select,4731
P18-64Nine Now,9600
P18-64Ten Play,8000
P18-64Seven Plus,8160
P18-64SBS On Demand,7840
P18-64Kayo,8000
P18-64Foxtel Go,6400
P18-64Binge,8800
P18-64Netflix,6400
