Key,A,B,C,adjust
P18+Linear TV Metro & Regional,0.806745396,"12,827.14",-0.837480947,1
P18+Linear TV Metro,0.56423844,"13,604.54",-0.837480947,1
P18+Linear TV Regional,0.242506955,"12,438.43",-0.837480947,1
P18+Foxtel Linear,0.180544671,"11,661.03",-0.837480947,1
P18+YouTube TrueView,0.807551886,"11,061.00",-0.70559123,1
P18+YouTube Instant Reserve,0.68241605,"29,891.11",-0.837480947,1
P18+YouTube Select,0.33380633,"79,835.86",-0.911519771,1
P18+YouTube OMG Select,0.170820279,"101,475.09",-1.013950376,1
P18+Nine Now,0.200822884,"46,644.13",-0.837480947,1
P18+Seven Plus,0.096492947,"38,870.11",-0.837480947,1
P18+Ten Play,0.07934953,"38,870.11",-0.837480947,1
P18+SBS On Demand,0.068573668,"34,983.10",-0.837480947,1
P18+Kayo,0.160560345,"39,647.51",-0.837480947,1
P18+Foxtel Go,0.073961599,"38,870.11",-0.837480947,1
P18+Binge,0.031343064,"46,644.13",-0.837480947,1
P18+Netflix,0.048981191,"38,870.11",-0.837480947,1
P25-54Linear TV Metro & Regional,0.806745396,728.2812768,-0.530535624,1
P25-54Linear TV Metro,0.56423844,772.419536,-0.530535624,1
P25-54Linear TV Regional,0.242506955,706.2121472,-0.530535624,1
P25-54Foxtel Linear,0.180544671,662.073888,-0.530535624,1
P25-54YouTube TrueView,0.999547124,"26,084.89",-0.779371276,1
P25-54YouTube Instant Reserve,0.995349803,"1,547.05",-0.530535624,1
P25-54YouTube Select,0.486745396,728.2812768,-0.530535624,1
P25-54YouTube OMG Select,0.314811912,"81,328.00",-0.91787661,1
P25-54Nine Now,0.200822884,696.92,-0.530535624,1
P25-54Seven Plus,0.126492947,410,-0.519823593,1
P25-54Ten Play,0.07934953,390,-0.580535624,1
P25-54SBS On Demand,0.068573668,522.69,-0.609823593,1
P25-54Kayo,0.160560345,"2,251.05",-0.530535624,1
P25-54Foxtel Go,0.073961599,"2,206.91",-0.530535624,1
P25-54Binge,0.031343064,"2,648.30",-0.530535624,1
P25-54Netflix,0.048981191,"2,206.91",-0.530535624,1
P18-44Linear TV Metro & Regional,0.806745396,642.000195,-0.54742183,1
P18-44Linear TV Metro,0.56423844,680.9092978,-0.54742183,1
P18-44Linear TV Regional,0.242506955,622.5456437,-0.54742183,1
P18-44Foxtel Linear,0.180544671,583.6365409,-0.54742183,1
P18-44YouTube TrueView,0.934917855,"52,426.37",-0.854403972,1
P18-44YouTube Instant Reserve,0.950292502,"1,625.23",-0.54742183,1
P18-44YouTube Select,0.483317006,"14,358.34",-0.747524201,1
P18-44YouTube OMG Select,0.314811912,"156,526.57",-0.982816827,1
P18-44Nine Now,0.200822884,"2,334.55",-0.54742183,1
P18-44Seven Plus,0.096492947,"1,945.46",-0.54742183,1
P18-44Ten Play,0.07934953,"1,945.46",-0.54742183,1
P18-44SBS On Demand,0.068573668,"1,750.91",-0.54742183,1
P18-44Kayo,0.160560345,"1,984.36",-0.54742183,1
P18-44Foxtel Go,0.073961599,"1,945.46",-0.54742183,1
P18-44Binge,0.031343064,"2,334.55",-0.54742183,1
P18-44Netflix,0.048981191,"1,945.46",-0.54742183,1
P18-64Linear TV Metro & Regional,0.806745396,695.7418897,-0.529823593,1
P18-64Linear TV Metro,0.56423844,737.9080648,-0.529823593,1
P18-64Linear TV Regional,0.242506955,674.6588021,-0.529823593,1
P18-64Foxtel Linear,0.180544671,632.492627,-0.529823593,1
P18-64YouTube TrueView,0.950685896,"62,104.98",-0.848125126,1
P18-64YouTube Instant Reserve,0.928048513,"1,577.01",-0.529823593,1
P18-64YouTube Select,0.483317006,"36,817.02",-0.807841229,1
P18-64YouTube OMG Select,0.314811912,"158,485.62",-0.971803847,1
P18-64Nine Now,0.200822884,"2,529.97",-0.529823593,1
P18-64Seven Plus,0.096492947,"2,108.31",-0.529823593,1
P18-64Ten Play,0.07934953,"2,108.31",-0.529823593,1
P18-64SBS On Demand,0.068573668,"1,897.48",-0.529823593,1
P18-64Kayo,0.160560345,"2,150.47",-0.529823593,1
P18-64Foxtel Go,0.073961599,"2,108.31",-0.529823593,1
P18-64Binge,0.031343064,"2,529.97",-0.529823593,1
P18-64Netflix,0.048981191,"2,108.31",-0.529823593,1
