Weeks,Select Provider,Linear TV Aggregated,TVNZ+,Samsung TV Plus,YouTube - In-stream (non-skippable)
1 Week,1,0.753424658,0.569448661,0.45370001,0.892873113
2 Weeks,1,0.876712329,0.78472433,0.726850005,0.946436557
3 Weeks,1,0.938356165,0.892362165,0.863425003,0.973218278
4 Weeks,1,1,1,1,1
5 Weeks,1,1.025684932,1.021962518,1.025000001,1.034441627
6 Weeks,1,1.051369863,1.043925037,1.050000002,1.068883255
7 Weeks,1,1.077054795,1.065887555,1.075000002,1.103324882
8 Weeks,1,1.102739726,1.087850074,1.100000003,1.13776651
9 Weeks,1,1.128424658,1.109812592,1.125000004,1.172208137
10 Weeks,1,1.154109589,1.131775111,1.150000005,1.206649765
11 Weeks,1,1.179794521,1.153737629,1.175000006,1.241091392
12 Weeks,1,1.205479452,1.175700148,1.200000006,1.275533019
